##### start data
#F Ni_300mesh_2-13_NISTsi_nor.gr
#D Wed May  3 11:48:27 2006
#C 
#S 1    G(r)
#D 
#L r(A)    G(r)    d_r    d_Gr
   1.420000e+00    -1.709312e+00    -1.070655e+00     4.929299e-04  
   1.430000e+00    -1.725335e+00    -1.078195e+00     4.944832e-04  
   1.440000e+00    -1.722941e+00    -1.085734e+00     4.908511e-04  
   1.450000e+00    -1.702930e+00    -1.093274e+00     4.830482e-04  
   1.460000e+00    -1.667372e+00    -1.100814e+00     4.732968e-04  
   1.470000e+00    -1.619451e+00    -1.108354e+00     4.644820e-04  
   1.480000e+00    -1.563226e+00    -1.115894e+00     4.593104e-04  
   1.490000e+00    -1.503322e+00    -1.123433e+00     4.593695e-04  
   1.500000e+00    -1.444594e+00    -1.130973e+00     4.645123e-04  
   1.510000e+00    -1.391761e+00    -1.138513e+00     4.729355e-04  
   1.520000e+00    -1.349068e+00    -1.146053e+00     4.819009e-04  
   1.530000e+00    -1.319972e+00    -1.153593e+00     4.886782e-04  
   1.540000e+00    -1.306900e+00    -1.161133e+00     4.913169e-04  
   1.550000e+00    -1.311083e+00    -1.168672e+00     4.890951e-04  
   1.560000e+00    -1.332477e+00    -1.176212e+00     4.826530e-04  
   1.570000e+00    -1.369787e+00    -1.183752e+00     4.738392e-04  
   1.580000e+00    -1.420580e+00    -1.191292e+00     4.652627e-04  
   1.590000e+00    -1.481489e+00    -1.198832e+00     4.595567e-04  
   1.600000e+00    -1.548480e+00    -1.206372e+00     4.585008e-04  
   1.610000e+00    -1.617166e+00    -1.213911e+00     4.623507e-04  
   1.620000e+00    -1.683155e+00    -1.221451e+00     4.697492e-04  
   1.630000e+00    -1.742379e+00    -1.228991e+00     4.782752e-04  
   1.640000e+00    -1.791407e+00    -1.236531e+00     4.853033e-04  
   1.650000e+00    -1.827698e+00    -1.244071e+00     4.887858e-04  
   1.660000e+00    -1.849787e+00    -1.251610e+00     4.877552e-04  
   1.670000e+00    -1.857373e+00    -1.259150e+00     4.825234e-04  
   1.680000e+00    -1.851333e+00    -1.266690e+00     4.745993e-04  
   1.690000e+00    -1.833620e+00    -1.274230e+00     4.663267e-04  
   1.700000e+00    -1.807097e+00    -1.281770e+00     4.602451e-04  
   1.710000e+00    -1.775281e+00    -1.289310e+00     4.582759e-04  
   1.720000e+00    -1.742049e+00    -1.296849e+00     4.610225e-04  
   1.730000e+00    -1.711311e+00    -1.304389e+00     4.675449e-04  
   1.740000e+00    -1.686680e+00    -1.311929e+00     4.757449e-04  
   1.750000e+00    -1.671171e+00    -1.319469e+00     4.831305e-04  
   1.760000e+00    -1.666949e+00    -1.327009e+00     4.875913e-04  
   1.770000e+00    -1.675145e+00    -1.334548e+00     4.879434e-04  
   1.780000e+00    -1.695760e+00    -1.342088e+00     4.841858e-04  
   1.790000e+00    -1.727665e+00    -1.349628e+00     4.774812e-04  
   1.800000e+00    -1.768687e+00    -1.357168e+00     4.698698e-04  
   1.810000e+00    -1.815794e+00    -1.364708e+00     4.637217e-04  
   1.820000e+00    -1.865346e+00    -1.372248e+00     4.610020e-04  
   1.830000e+00    -1.913404e+00    -1.379787e+00     4.625794e-04  
   1.840000e+00    -1.956066e+00    -1.387327e+00     4.679018e-04  
   1.850000e+00    -1.989803e+00    -1.394867e+00     4.752252e-04  
   1.860000e+00    -2.011774e+00    -1.402407e+00     4.822594e-04  
   1.870000e+00    -2.020083e+00    -1.409947e+00     4.869071e-04  
   1.880000e+00    -2.013962e+00    -1.417487e+00     4.878365e-04  
   1.890000e+00    -1.993863e+00    -1.425026e+00     4.847920e-04  
   1.900000e+00    -1.961450e+00    -1.432566e+00     4.786385e-04  
   1.910000e+00    -1.919481e+00    -1.440106e+00     4.711489e-04  
   1.920000e+00    -1.871603e+00    -1.447646e+00     4.645391e-04  
   1.930000e+00    -1.822058e+00    -1.455186e+00     4.608043e-04  
   1.940000e+00    -1.775334e+00    -1.462725e+00     4.610391e-04  
   1.950000e+00    -1.735783e+00    -1.470265e+00     4.650338e-04  
   1.960000e+00    -1.707238e+00    -1.477805e+00     4.713669e-04  
   1.970000e+00    -1.692659e+00    -1.485345e+00     4.779401e-04  
   1.980000e+00    -1.693846e+00    -1.492885e+00     4.826777e-04  
   1.990000e+00    -1.711230e+00    -1.500425e+00     4.841212e-04  
   2.000000e+00    -1.743787e+00    -1.507964e+00     4.817891e-04  
   2.010000e+00    -1.789053e+00    -1.515504e+00     4.762788e-04  
   2.020000e+00    -1.843283e+00    -1.523044e+00     4.691186e-04  
   2.030000e+00    -1.901712e+00    -1.530584e+00     4.623745e-04  
   2.040000e+00    -1.958921e+00    -1.538124e+00     4.580487e-04  
   2.050000e+00    -2.009278e+00    -1.545664e+00     4.574177e-04  
   2.060000e+00    -2.047419e+00    -1.553203e+00     4.605705e-04  
   2.070000e+00    -2.068733e+00    -1.560743e+00     4.663890e-04  
   2.080000e+00    -2.069813e+00    -1.568283e+00     4.729793e-04  
   2.090000e+00    -2.048826e+00    -1.575823e+00     4.783273e-04  
   2.100000e+00    -2.005781e+00    -1.583363e+00     4.809032e-04  
   2.110000e+00    -1.942649e+00    -1.590902e+00     4.800596e-04  
   2.120000e+00    -1.863325e+00    -1.598442e+00     4.761778e-04  
   2.130000e+00    -1.773424e+00    -1.605982e+00     4.705665e-04  
   2.140000e+00    -1.679910e+00    -1.613522e+00     4.651163e-04  
   2.150000e+00    -1.590577e+00    -1.621062e+00     4.617467e-04  
   2.160000e+00    -1.513405e+00    -1.628602e+00     4.617703e-04  
   2.170000e+00    -1.455844e+00    -1.636141e+00     4.654144e-04  
   2.180000e+00    -1.424056e+00    -1.643681e+00     4.717341e-04  
   2.190000e+00    -1.422177e+00    -1.651221e+00     4.789622e-04  
   2.200000e+00    -1.451656e+00    -1.658761e+00     4.851096e-04  
   2.210000e+00    -1.510720e+00    -1.666301e+00     4.885571e-04  
